1, 232, Ava, 101, Cancelled, 2024-06-02, 2024-06-20, 2024-06-21
2, 233, Ava, 101, Cancelled, 2024-06-02, 2024-06-20, 2024-06-21
3, 971, Ava, 120, Checked-Out, 2024-06-03, 2024-06-12, 2024-06-14
4, 456, Ava, 151, Cancelled, 2024-06-03, 2024-06-23, 2024-06-30
5, 939, Tam, 120, Cancelled, 2024-06-04, 2024-06-10, 2024-06-11
6, 656, Ava, 120, Checked-Out, 2024-06-04, 2024-06-04, 2024-06-10
7, 390, Ava, 120, Checked-Out, 2024-06-06, 2024-06-06, 2024-06-07
8, 482, Ava, 144, Cancelled, 2024-06-06, 2024-06-06, 2024-06-10
9, 599, Ava, 120, Checked-Out, 2024-06-06, 2024-06-06, 2024-06-10
10, 704, Ava, 120, Checked-In, 2024-06-06, 2024-06-06, 2024-06-10
11, 619, Ava, 144, Cancelled, 2024-06-06, 2024-06-10, 2024-06-12
12, 230, Ava, 150, Cancelled, 2024-06-06, 2024-06-10, 2024-06-12
13, 625, Ava, 122, Cancelled, 2024-06-06, 2024-06-06, 2024-06-10
14, 430, Tam, 129, Cancelled, 2024-06-22, 2024-06-25, 2024-06-30
15, 126, Tam, 122, Cancelled, 2024-06-24, 2024-06-24, 2024-06-25
16, 539, Tam, 129, Cancelled, 2024-06-24, 2024-07-01, 2024-07-02
17, 225, Ava, 129, Cancelled, 2024-06-24, 2024-07-03, 2024-07-04
18, 138, Tam, 129, Cancelled, 2024-06-25, 2024-07-06, 2024-07-10
19, 473, Tam, 129, Cancelled, 2024-06-25, 2024-07-10, 2024-07-12
20, 844, Tam, 129, Cancelled, 2024-06-25, 2024-07-04, 2024-07-06
21, 746, Tam, 129, Cancelled, 2024-06-25, 2024-06-30, 2024-07-01
22, 403, Ava, 125, Cancelled, 2024-07-30, 2024-08-02, 2024-08-05
23, 826, Tam, 122, Cancelled, 2024-07-31, 2024-08-02, 2024-08-10
24, 909, Tam, 129, Checked-Out, 2024-07-31, 2024-07-31, 2024-08-10
25, 669, Tam, 111, Checked-In, 2024-08-02, 2024-08-02, 2024-08-03
26, 481, Ava, 111, Cancelled, 2024-08-09, 2024-08-10, 2024-08-12
